,customer_id,transaction_amount,transaction_date
135,1033,-189.0,11-01-2022 02:05:39.479523
136,1095,298.0,11-01-2022 07:05:15.318449
137,1074,156.0,11-01-2022 12:04:51.157375
138,1054,23.0,11-01-2022 17:04:26.996301
139,1074,39.0,11-01-2022 22:04:02.835228
140,1051,108.0,12-01-2022 03:03:38.674154
141,1046,-141.0,12-01-2022 08:03:14.513080
142,1028,-567.0,12-01-2022 13:02:50.352006
143,1017,-135.0,12-01-2022 18:02:26.190932
144,1065,222.0,12-01-2022 23:02:02.029858
145,1063,-8.0,13-01-2022 04:01:37.868785
146,1011,102.0,13-01-2022 09:01:13.707711
147,1096,109.0,13-01-2022 14:00:49.546637
148,1006,-598.0,13-01-2022 19:00:25.385563
149,1014,-413.0,14-01-2022 00:00:01.224489
